campaign_family,ad_group_theme,keyword_candidate,negative_level,reason
Diagnostics & VOR,Limp Mode / Derate,How to get a Volvo out of limp mode?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,AdBlue / DPF / NOx,how to regenerate dpf mercedes sprinter,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,How to repair display of Mobile at home,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,AdBlue / DPF / NOx,How to Reset a Mercedes-Benz AdBlue Warning Light,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,AdBlue / DPF / NOx,How to reset AdBlue countdown?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,AdBlue / DPF / NOx,how to reset adblue warning mercedes sprinter,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Limp Mode / Derate,How to reset Mercedes limp mode?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostic near me open now,ad_group,Matched risk phrase: 'open now'.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics and repair centre,ad_group,Matched risk phrase: 'repair centre'.
Diagnostics & VOR,Standard Diagnosis,Mobile fault finding free,ad_group,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,mobile fault finding software free download,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,Phone Repair Help: Learn How to Fix It Yourself.,ad_group,Matched risk phrase: 'how to'.
Diagnostics & VOR,Pre-Purchase Van Check,Pre purchase vehicle check free,ad_group,High negative-risk score or policy/junk signals.
Diagnostics & VOR,AdBlue / DPF / NOx,sprinter adblue delete,ad_group,Matched risk phrase: 'adblue delete'.
Diagnostics & VOR,Standard Diagnosis,"T1N Sprinter Limp Home Mode, How to Reset Without Stopping!",ad_group,Matched risk phrase: 'how to'.
Diagnostics & VOR,Standard Diagnosis,Van engine management light reset,ad_group,Matched risk phrase: 'light reset'.
Diagnostics & VOR,Standard Diagnosis,vehicle diagnostics near me open now,ad_group,Matched risk phrase: 'open now'.
Diagnostics & VOR,Standard Diagnosis,What are the best vans for electricians?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,What is *# 0 *# test on my phone?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,What is a common cause of a no start condition in vehicles?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Limp Mode / Derate,What is limp mode on Mercedes Vito?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,AdBlue / DPF / NOx,What is the AdBlue mileage countdown?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,AdBlue / DPF / NOx,What is the AdBlue warning light on a Mercedes Sprinter?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,AdBlue / DPF / NOx,What is the DPF issue on a sprinter?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,What is the master warning ⚠?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Limp Mode / Derate,What is the most common cause of limp mode?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,What is the most common reason for the check engine light?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,What is the most common reason for the engine management light?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,Why are Mercedes diagnostics so expensive?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,Why is my car cranking but not starting,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,Why is my engine light on in my van?,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,why is my mercedes sprinter losing power,campaign,High negative-risk score or policy/junk signals.
Diagnostics & VOR,Standard Diagnosis,Why is my van not starting but has power?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,How much do brakes cost for a van?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,How much does a full Mercedes service cost?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,How much does a van service cost?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,How much does it cost to replace brake pads on a van?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,How much does it cost to replace brakes in a Volvo?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,How much does it cost to service a Mercedes Sprinter?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,How much does Mercedes charge for a MOT?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,How much is a full van service?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,How much is a mercedes mot,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,How much is a Mercedes Sprinter service?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,How much is a mobile mechanic call out fee?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,How much is a MOT for a Mercedes?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,How much is a service on a Mercedes Sprinter?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,How much is a service on a Mercedes Sprinter van?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Vito Servicing,How much is a service on a Mercedes Vito?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,How much should a brake job labor cost?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,How much should a service cost?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Vito Servicing,How often do Mercedes Vito vans need service?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,How often do you need to service a Mercedes Sprinter van?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,how often should a mercedes sprinter be serviced,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,How often should a Mercedes Sprinter van be serviced?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Vito Servicing,How often should a Mercedes Vito be serviced?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,How often should a van get serviced?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Vito Brakes,how to change brake light bulb mercedes vito,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Vito Brakes,How to change front brake discs on Mercedes Vito W639,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,how to service a mercedes sprinter,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,Is it cheaper to use a mobile mechanic?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes specialist service centre,ad_group,Matched risk phrase: 'service centre'.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes specialist service cost calculator,ad_group,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service intervals,ad_group,Matched risk phrase: 'service intervals'.
Mercedes Van Servicing,Sprinter Servicing,Mercedes Sprinter service intervals uk,ad_group,Matched risk phrase: 'service intervals'.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service kit,ad_group,Matched risk phrase: 'service kit'.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service light reset,ad_group,Matched risk phrase: 'light reset'.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service reset,ad_group,Matched risk phrase: 'service reset'.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service reset 2013,ad_group,Matched risk phrase: 'service reset'.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service reset 2017,ad_group,Matched risk phrase: 'service reset'.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes van service center,ad_group,Matched risk phrase: 'service center'.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes van service centre,ad_group,Matched risk phrase: 'service centre'.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes van service centre near me,ad_group,Matched risk phrase: 'service centre'.
Mercedes Van Servicing,Vito Servicing,mercedes vito service book pdf free,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Vito Servicing,mercedes vito service intervals,ad_group,Matched risk phrase: 'service intervals'.
Mercedes Van Servicing,Vito Servicing,mercedes vito service intervals diesel,ad_group,Matched risk phrase: 'service intervals'.
Mercedes Van Servicing,Vito Servicing,mercedes vito service kit,ad_group,Matched risk phrase: 'service kit'.
Mercedes Van Servicing,Vito Servicing,mercedes vito service light reset,ad_group,Matched risk phrase: 'light reset'.
Mercedes Van Servicing,Vito Servicing,mercedes vito service reset,ad_group,Matched risk phrase: 'service reset'.
Mercedes Van Servicing,Vito Servicing,mercedes vito service reset 2009,ad_group,Matched risk phrase: 'service reset'.
Mercedes Van Servicing,Vito Servicing,mercedes vito service reset 2010,ad_group,Matched risk phrase: 'service reset'.
Mercedes Van Servicing,Vito Servicing,mercedes vito service reset not working,ad_group,Matched risk phrase: 'service reset'.
Mercedes Van Servicing,Sprinter Servicing,Mercedes-Benz Sprinter Diesel Van Service Intervals,ad_group,Matched risk phrase: 'service intervals'.
Mercedes Van Servicing,Mercedes Van Servicing,printer service near me open now,ad_group,Matched risk phrase: 'open now'.
Mercedes Van Servicing,Mercedes Van Servicing,Service Intervals | Mercedes-Benz Vans,ad_group,Matched risk phrase: 'service intervals'.
Mercedes Van Servicing,Sprinter Brakes,sprinter brake job cost,ad_group,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Brakes,sprinter brake pad warning light reset,ad_group,Matched risk phrase: 'light reset'.
Mercedes Van Servicing,Sprinter Brakes,sprinter brake pads light reset,ad_group,Matched risk phrase: 'light reset'.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter mobile care san diego,ad_group,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter mobile care san diego reviews,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,sprinter service center near me,ad_group,Matched risk phrase: 'service center'.
Mercedes Van Servicing,Mercedes Van Servicing,van breakers near me open now,ad_group,Matched risk phrase: 'open now'.
Mercedes Van Servicing,Mercedes Van Servicing,van service near me open now,ad_group,Matched risk phrase: 'open now'.
Mercedes Van Servicing,Sprinter Servicing,What is included in Mercedes Sprinter Service A?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,What is service A on a Mercedes van?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,What is the 30 30 30 rule for brakes?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,What is the average cost of a Mercedes brake job?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,What is the difference between Sprinter Service A and B?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,What is the service schedule for a Mercedes Sprinter?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,Why are Mercedes brake pads so expensive?,campaign,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,Why are Mercedes brakes so expensive?,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,fuel economy remaps leeds cost,ad_group,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,How much does a remap usually cost?,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,How much does an economy remap cost?,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,How much does car tuning cost?,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,How much does it cost to get a van remapped?,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,How much does it cost to remap a van?,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,How much horsepower and torque does a Sprinter 3.0 have?,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,How much is a remap on a van?,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,How much is it to remap a van?,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,How to tune a car for better fuel economy?,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,How to tune a diesel engine for fuel economy?,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,Is an economy remap worth it?,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,Is it legal to remap a van?,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,Is it worth remapping a van?,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,Remap calculator stage 2,ad_group,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,Stage 2 remap,ad_group,Matched risk phrase: 'stage 2'.
Van Tuning,Van Economy Tune,Stage 2 remap near me,ad_group,Matched risk phrase: 'stage 2'.
Van Tuning,Van Economy Tune,What is an economy tune?,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,what is high mileage for a mercedes sprinter,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,What is the difference between Mercedes Sprinter 907 and 910?,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,What is the most economical van to run?,campaign,High negative-risk score or policy/junk signals.
Van Tuning,Van Economy Tune,What is the torque on Sprinter bolts?,campaign,High negative-risk score or policy/junk signals.
